DE ref,school name,nursery pupils,reception pupils,year 1,year 2,year 3,year 4,year 5,year 6,year 7,total enrolment
1010012,Belmont Primary School,0,0,84,85,85,0,0,0,0,254
1010063,Currie Primary School,0,0,31,31,25,20,29,19,20,175
1010146,Euston Street Primary School,51,0,42,57,41,46,46,30,28,341
1010157,Rosetta Primary School,30,0,45,36,37,40,35,27,29,279
1010205,Forth River Primary School,0,0,30,30,28,29,28,30,30,205
1010221,Springfield Primary School,0,0,28,26,28,28,27,19,19,175
1010232,Harding Memorial Primary School,0,0,30,29,30,28,30,31,31,209
1010252,Strandtown Primary School,0,0,0,0,0,253,253,242,228,976
1010255,Elmgrove Primary School,52,0,88,94,88,82,95,86,89,674
1010266,"Seaview Primary School, Belfast",54,0,60,55,59,58,58,51,48,443
1010267,Nettlefield Primary School,52,0,53,56,47,44,45,41,43,381
1010273,Orangefield Primary School,53,0,58,59,60,60,60,59,59,468
1010282,Carr's Glen Primary School,0,0,50,60,54,60,71,32,58,385
1010301,Taughmonagh Primary School,52,0,31,25,34,33,29,24,18,246
1010304,Greenwood Primary School,52,0,88,86,86,0,0,0,0,312
1010307,Springhill Primary School,0,0,25,13,21,23,22,21,25,150
1010323,Edenbrooke Primary School,0,0,58,56,42,41,39,35,29,300
1010324,Stranmillis Primary School,52,0,60,59,58,60,60,59,58,466
1010325,Ligoniel Primary School,0,0,24,29,29,24,29,28,22,185
1010806,Finaghy Primary School,0,0,66,62,60,61,61,59,59,428
1010831,Cavehill Primary School,0,0,60,54,61,61,60,60,56,412
1013018,Knocknagoney Primary School,27,0,41,41,40,37,37,28,22,273
1016059,Blackmountain Primary School,26,0,24,18,20,23,25,20,10,166
1016060,Donegall Road Primary School,0,0,47,34,31,35,40,35,30,252
1016076,Ballysillan Primary School,27,0,25,28,23,21,17,23,11,175
1016205,Fane Street Primary School,30,0,36,29,31,26,31,38,19,240
1016207,Blythefield Primary School,0,0,23,17,9,12,17,8,17,103
1016242,Dundela Infants School,52,0,82,81,76,0,0,0,0,291
1016485,Glenwood Primary School,0,0,76,73,71,78,67,82,84,531
1016498,Malvern Primary School,0,0,16,16,15,13,10,21,14,105
1016499,Botanic Primary School,28,0,30,24,27,30,29,30,20,218
1016532,Wheatfield Primary School,26,0,22,20,19,15,22,15,20,159
1016537,Lowwood Primary School,52,0,28,28,30,29,29,27,21,244
1016604,"Harmony Primary School, Belfast",52,0,33,24,36,26,25,33,23,252
