DE ref,Schoolname,total enrolment,fsme,free school meals
1010012,Belmont Primary School,254,21,8.30%
1010063,Currie Primary School,175,142,81.10%
1010146,Euston Street Primary School,341,212,62.20%
1010157,Rosetta Primary School,279,90,32.30%
1010205,Forth River Primary School,205,84,41.00%
1010221,Springfield Primary School,175,85,48.60%
1010232,Harding Memorial Primary School,209,88,42.10%
1010252,Strandtown Primary School,976,182,18.60%
1010255,Elmgrove Primary School,674,462,68.50%
1010266,"Seaview Primary School, Belfast",443,258,58.20%
1010267,Nettlefield Primary School,381,267,70.10%
1010273,Orangefield Primary School,468,84,17.90%
1010282,Carr's Glen Primary School,385,186,48.30%
1010301,Taughmonagh Primary School,246,139,56.50%
1010304,Greenwood Primary School,312,24,7.70%
1010307,Springhill Primary School,150,70,46.70%
1010323,Edenbrooke Primary School,300,238,79.30%
1010324,Stranmillis Primary School,466,23,4.90%
1010325,Ligoniel Primary School,185,78,42.20%
1010806,Finaghy Primary School,428,107,25.00%
1010831,Cavehill Primary School,412,107,26.00%
1013018,Knocknagoney Primary School,273,121,44.30%
1016059,Blackmountain Primary School,166,123,74.10%
1016060,Donegall Road Primary School,252,191,75.80%
1016076,Ballysillan Primary School,175,101,57.70%
1016205,Fane Street Primary School,240,142,59.20%
1016207,Blythefield Primary School,103,91,88.30%
1016242,Dundela Infants School,291,105,36.10%
1016485,Glenwood Primary School,531,390,73.40%
1016498,Malvern Primary School,105,88,83.80%
1016499,Botanic Primary School,218,117,53.70%
1016532,Wheatfield Primary School,159,117,73.60%
1016537,Lowwood Primary School,244,135,55.30%
1016604,"Harmony Primary School, Belfast",252,179,71.00%
1016647,Bunscoil Mhic Reachtain,92,57,62.00%
1016655,Victoria Park Primary School,395,210,53.20%
1030194,"Holy Cross Boys' Primary School, Belfast",445,319,71.70%
1030313,"Our Lady of Lourdes Primary School, Belfast",639,86,13.50%
1030326,"Our Lady's Primary School, Belfast",386,251,65.00%
1030327,Holy Rosary Primary School,500,258,51.60%
1030331,"Holy Cross Girls' Primary School, Belfast",188,141,75.00%
1030868,"St Anne's Primary School, Belfast",896,133,14.80%
1036041,Mercy Primary School,214,148,69.20%
1036042,St Vincent De Paul Primary School,279,182,65.20%
1036048,St Mary's Star of the Sea Primary School,145,86,59.30%
1036075,St Bride's Primary School,878,113,12.90%
1036132,St Therese of Lisieux Primary School,440,103,23.40%
1036140,"St Michael's Primary School, Belfast",419,62,14.80%
1036246,"St Joseph's Primary School, Holland Drive",384,35,9.10%
1036388,"St Mary's Primary School, Divis St",132,102,77.30%
1036466,"St Malachy's Primary School, Belfast",381,221,58.00%
1036471,"Sacred Heart Primary School, Belfast",149,112,75.20%
1036505,"St Matthew's Primary School, Belfast",301,187,62.10%
1036565,St Kevin's Primary School,579,387,66.80%
1036566,"Holy Family Primary School, Belfast",487,303,62.20%
1036576,"Holy Child Primary School, Belfast",583,289,49.60%
1036589,"St Teresa's Primary School, Belfast",506,222,43.90%
1036602,"St Oliver Plunkett Primary School, Belfast",638,399,62.50%
1036620,"St Peter's Primary School, Belfast",325,255,78.50%
1036621,"St Joseph's Primary School, Slate Street",228,170,74.60%
1036623,"Holy Trinity Primary School, Belfast",643,470,73.10%
1036624,"St Paul's Primary School, Belfast",342,246,71.90%
1036630,"St Clare's Primary School, Belfast",470,321,68.30%
1036688,"St John The Baptist Primary School, Belfast",392,178,45.40%
1036697,John Paul II Primary School,283,241,85.20%
1036698,"St Patrick's Primary School, Churchill St",546,406,74.40%
1046501,Bunscoil Phobal Feirste,339,122,36.00%
1046571,Gaelscoil Na Bhfal,194,87,44.80%
1046593,Bunscoil An Tsleibhe Dhuibh,191,126,66.00%
1046596,Bunscoil Bheann Mhadagain,158,93,58.90%
1046641,Scoil An Droichid,165,85,51.50%
1046671,Gaelscoil na Mona,125,91,72.80%
1046672,Gaelscoil an Lonnain,60,52,86.70%
1056483,Cliftonville Integrated Primary School,332,218,65.70%
1056535,Forge Integrated Primary School,351,98,27.90%
1066531,Hazelwood Primary School,459,229,49.90%
1066580,Cranmore Integrated Primary School,206,98,47.60%
1620020,Campbell College Junior School,249,6,2.40%
1620022,Fullerton House Preparatory School,151,*,*
1620023,Downey House School,119,*,*
1620027,Inchmarlo,149,0,0.00%
1620028,Ben Madigan Preparatory School,131,8,6.10%
1620089,Strathearn Prep Dept,137,*,*
1620264,Victoria College Prepatory School,152,0,0.00%
2010380,Londonderry Model Primary School,313,149,47.60%
2010382,Ebrington Controlled Primary School,451,166,36.80%
2011787,Kesh Primary School,236,74,31.40%
2011789,Moat Primary School,119,41,34.50%
2011860,Belleek Primary School,29,15,51.70%
2011873,Aghadrumsee Primary School,40,19,47.50%
2011879,Newtownbutler Primary School,53,22,41.50%
2011881,Florencecourt Primary School,124,33,26.60%
2011893,Ballinamallard Primary School,160,27,16.90%
2011894,Brookeborough Primary School,71,25,35.20%
2011899,Derrygonnelly Primary School,68,13,19.10%
2012052,Culmore Primary School,70,8,11.40%
2012087,Bellarena Primary School,34,15,44.10%
2012095,Ballougry Primary School,71,8,11.30%
2012227,Drumahoe Primary School,302,76,25.20%
2012245,Eglinton Primary School,215,46,21.40%
2012261,Newbuildings Primary School,204,80,39.20%
2012298,Ballykelly Primary School,315,143,45.40%
2012344,McClintock Primary School,84,19,22.60%
2012378,Dunmullan Primary School,36,8,22.20%
2012617,Erganagh Primary School,40,15,37.50%
2012638,Edwards Primary School,229,99,43.20%
2012641,Killen Primary School,110,32,29.10%
2012648,Gillygooley Primary School,30,*,*
2012660,Denamona Primary School,63,16,25.40%
2012669,"Queen Elizabeth II Primary School, Omagh",45,7,15.60%
2012671,Langfield Primary School,28,11,39.30%
2012691,Omagh County Primary School,337,106,31.50%
2012707,Dromore Primary School,48,15,31.30%
2012708,Strabane Controlled Primary School,281,104,37.00%
2012711,Donemana Primary School,104,51,49.00%
2016003,Jones Memorial Primary School,180,83,46.10%
2016029,Drumachose Primary School,318,88,27.70%
2016068,Artigarvan Primary School,149,53,35.60%
2016071,Greenhaw Primary School,315,180,57.10%
2016089,Gibson Primary School,311,114,36.70%
2016102,Tempo Primary School,104,21,20.20%
2016124,Ashlea Primary,83,37,44.60%
2016127,Maguiresbridge Primary School,115,31,27.00%
2016151,Irvinestown Primary School,161,50,31.10%
2016152,Enniskillen Model Primary School,432,106,24.50%
2016184,Lack Primary School,53,20,37.70%
2016203,Lisnagelvin Primary School,598,230,38.50%
2016218,Lisbellaw Primary School,219,48,21.90%
2016262,Newtownstewart Model Primary School,62,29,46.80%
2016372,Cumber Claudy Primary School,145,49,33.80%
2016395,Gortin Primary School,54,7,13.00%
2016426,Limavady Central Primary School,422,180,42.70%
2016442,Sion Mills Primary School,260,93,35.80%
2016564,Fountain Primary School,113,76,67.30%
2016645,Bready Jubilee Primary School,131,39,29.80%
2016656,Drumrane Primary School,132,43,32.60%
2016663,Cooley Primary School,137,31,22.60%
2016700,Gaelscoil NeAchitain,93,34,36.60%
2016701,Ardstraw Jubilee Primary School,85,22,25.90%
2030364,Rosemount Primary School,346,152,43.90%
2030373,Nazareth House Primary School,253,114,45.10%
2030381,"Holy Child Primary School, Londonderry",256,203,79.30%
2031828,"St Patrick's Primary School, Mullanaskea",207,34,16.40%
2031863,Tattygar Primary School,75,20,26.70%
2031868,"St Tierney's Primary School, Roslea",107,31,29.00%
2031869,"St Mary's Primary School, Newtownbutler",180,64,35.60%
2031874,"St Patrick's Primary School, Derrygonnelly",123,39,31.70%
2031876,"St Mary's Primary School, Brookeborough",57,22,38.60%
2031880,"St Ninnidh's Primary School, Derrylin",133,39,29.30%
2031884,"St Mary's Primary School, Killesher",81,13,16.00%
2031887,"St John the Baptist Primary School, Enniskillen",46,12,26.10%
2031890,"St Mary's Primary School, Mullymesker",132,32,24.20%
2031895,"St Mary's Primary School, Maguiresbridge",95,33,34.70%
2031897,Killyhommon Primary School,73,16,21.90%
2031898,"St Paul's Primary School, Irvinestown",231,60,26.00%
2031901,"St Ronan's Primary School, Lisnaskea",359,97,27.00%
2032212,Glendermott Primary School,154,56,36.40%
2032263,"St Canice's Primary School, Feeny",116,32,27.60%
2032278,Broadbridge Primary School,431,85,19.70%
2032286,"St Matthew's Primary School, Limavady",83,34,41.00%
2032287,Termoncanice Primary School,528,201,38.10%
2032294,"St Mary's Primary School, Altinure",165,35,21.20%
2032300,Listress Primary School,23,14,60.90%
2032473,Magheralough Primary School,23,7,30.40%
2032573,"St Brigid's Primary School, Altamuskin",58,7,12.10%
2032603,Tummery Primary School,44,17,38.60%
2032607,"St Mary's Primary School, Killyclogher",388,122,31.40%
2032612,"St Matthew's Primary School, Garvaghey",27,14,51.90%
2032628,Knocknagor Primary School,68,20,29.40%
2032639,Drumduff Primary School,46,9,19.60%
2032662,"St Brigid's Primary School, Mountfield",38,19,50.00%
2032676,"St Patrick's Primary School, Gortin",83,20,24.10%
2032677,Drumlish Primary School,62,8,12.90%
2032682,"St Eugene's Primary School, Victoria Bridge",62,24,38.70%
2032683,"St Joseph's Primary School, Glenmornan",38,13,34.20%
2032684,St Lawrence's Primary School,262,83,31.70%
2032685,"St Brigid's Primary School, Cranagh",22,*,*
2032688,"St Eugene's Primary School, Tyrcur",31,7,22.60%
2032694,St Caireall's Primary School,92,23,25.00%
2032700,"St Joseph's Primary School, Drumquin",136,29,21.30%
2032704,Recarson Primary School,106,18,17.00%
2032705,"St Patrick's Primary School, Eskra",95,19,20.00%
2032721,"Sacred Heart Primary School, Tattyreagh",80,13,16.30%
2032722,Altishane Primary School,16,7,43.80%
2032723,Roscavey Primary School,58,9,15.50%
2032724,Loughash Primary School,37,5,13.50%
2032730,"St Columba's Primary School, Clady",149,42,28.20%
2032731,"St Teresa's Primary School, Loughmacrory",157,43,27.40%
2032737,"St Columbkille's Primary School, Carrickmore",330,81,24.50%
2033706,Faughanvale Primary School,197,80,40.60%
2033707,Mullabuoy Primary School,82,42,51.20%
2033708,St Aidan's Primary School Magilligan,63,18,28.60%
2036008,"St Patrick's Primary School, Newtownstewart",126,74,58.70%
2036032,"St John's Primary School, Bligh's Lane",563,382,67.90%
