DE ref,Schoolname,male,female,total pupils
1010012,Belmont Primary School,143,111,254
1010063,Currie Primary School,86,89,175
1010146,Euston Street Primary School,151,190,341
1010157,Rosetta Primary School,141,138,279
1010205,Forth River Primary School,100,105,205
1010221,Springfield Primary School,93,82,175
1010232,Harding Memorial Primary School,112,97,209
1010252,Strandtown Primary School,504,472,976
1010255,Elmgrove Primary School,322,352,674
1010266,"Seaview Primary School, Belfast",224,219,443
1010267,Nettlefield Primary School,204,177,381
1010273,Orangefield Primary School,253,215,468
1010282,Carr's Glen Primary School,206,179,385
1010301,Taughmonagh Primary School,115,131,246
1010304,Greenwood Primary School,159,153,312
1010307,Springhill Primary School,64,86,150
1010323,Edenbrooke Primary School,147,153,300
1010324,Stranmillis Primary School,240,226,466
1010325,Ligoniel Primary School,91,94,185
1010806,Finaghy Primary School,218,210,428
1010831,Cavehill Primary School,221,191,412
1013018,Knocknagoney Primary School,142,131,273
1016059,Blackmountain Primary School,83,83,166
1016060,Donegall Road Primary School,140,112,252
1016076,Ballysillan Primary School,93,82,175
1016205,Fane Street Primary School,126,114,240
1016207,Blythefield Primary School,47,56,103
1016242,Dundela Infants School,144,147,291
1016485,Glenwood Primary School,255,276,531
1016498,Malvern Primary School,56,49,105
1016499,Botanic Primary School,110,108,218
1016532,Wheatfield Primary School,68,91,159
1016537,Lowwood Primary School,132,112,244
1016604,"Harmony Primary School, Belfast",119,133,252
1016647,Bunscoil Mhic Reachtain,44,48,92
1016655,Victoria Park Primary School,211,184,395
1030194,"Holy Cross Boys' Primary School, Belfast",445,0,445
1030313,"Our Lady of Lourdes Primary School, Belfast",320,319,639
1030326,"Our Lady's Primary School, Belfast",0,386,386
1030327,Holy Rosary Primary School,256,244,500
1030331,"Holy Cross Girls' Primary School, Belfast",0,188,188
1030868,"St Anne's Primary School, Belfast",499,397,896
1036041,Mercy Primary School,0,214,214
1036042,St Vincent De Paul Primary School,150,129,279
1036048,St Mary's Star of the Sea Primary School,82,63,145
1036075,St Bride's Primary School,446,432,878
1036132,St Therese of Lisieux Primary School,252,188,440
1036140,"St Michael's Primary School, Belfast",240,179,419
1036246,"St Joseph's Primary School, Holland Drive",196,188,384
1036388,"St Mary's Primary School, Divis St",62,70,132
1036466,"St Malachy's Primary School, Belfast",187,194,381
