DE ref,Schoolname,Newcomer,Total enrolment,% Newcomer
1010012,Belmont Primary School,*,254,*
1010063,Currie Primary School,13,175,7.40%
1010146,Euston Street Primary School,81,341,23.80%
1010157,Rosetta Primary School,19,279,6.80%
1010205,Forth River Primary School,0,205,0.00%
1010221,Springfield Primary School,*,175,*
1010232,Harding Memorial Primary School,22,209,10.50%
1010252,Strandtown Primary School,13,976,1.30%
1010255,Elmgrove Primary School,93,674,13.80%
1010266,"Seaview Primary School, Belfast",60,443,13.50%
1010267,Nettlefield Primary School,134,381,35.20%
1010273,Orangefield Primary School,15,468,3.20%
1010282,Carr's Glen Primary School,*,385,*
1010301,Taughmonagh Primary School,14,246,5.70%
1010304,Greenwood Primary School,*,312,*
1010307,Springhill Primary School,11,150,7.30%
1010323,Edenbrooke Primary School,*,300,*
1010324,Stranmillis Primary School,47,466,10.10%
1010325,Ligoniel Primary School,0,185,0.00%
1010806,Finaghy Primary School,24,428,5.60%
1010831,Cavehill Primary School,*,412,*
1013018,Knocknagoney Primary School,17,273,6.20%
1016059,Blackmountain Primary School,0,166,0.00%
1016060,Donegall Road Primary School,15,252,6.00%
1016076,Ballysillan Primary School,7,175,4.00%
1016205,Fane Street Primary School,142,240,59.20%
1016207,Blythefield Primary School,10,103,9.70%
1016242,Dundela Infants School,44,291,15.10%
1016485,Glenwood Primary School,*,531,*
1016498,Malvern Primary School,*,105,*
1016499,Botanic Primary School,103,218,47.20%
1016532,Wheatfield Primary School,0,159,0.00%
1016537,Lowwood Primary School,*,244,*
1016604,"Harmony Primary School, Belfast",0,252,0.00%
1016647,Bunscoil Mhic Reachtain,0,92,0.00%
1016655,Victoria Park Primary School,18,395,4.60%
1030194,"Holy Cross Boys' Primary School, Belfast",0,445,0.00%
1030313,"Our Lady of Lourdes Primary School, Belfast",12,639,1.90%
1030326,"Our Lady's Primary School, Belfast",11,386,2.80%
1030327,Holy Rosary Primary School,235,500,47.00%
1030331,"Holy Cross Girls' Primary School, Belfast",5,188,2.70%
1030868,"St Anne's Primary School, Belfast",89,896,9.90%
1036041,Mercy Primary School,*,214,*
1036042,St Vincent De Paul Primary School,24,279,8.60%
1036048,St Mary's Star of the Sea Primary School,7,145,4.80%
1036075,St Bride's Primary School,157,878,17.90%
1036132,St Therese of Lisieux Primary School,6,440,1.40%
1036140,"St Michael's Primary School, Belfast",27,419,6.40%
1036246,"St Joseph's Primary School, Holland Drive",20,384,5.20%
1036388,"St Mary's Primary School, Divis St",65,132,49.20%
1036466,"St Malachy's Primary School, Belfast",91,381,23.90%
1036471,"Sacred Heart Primary School, Belfast",5,149,3.40%
1036505,"St Matthew's Primary School, Belfast",60,301,19.90%
1036565,St Kevin's Primary School,29,579,5.00%
1036566,"Holy Family Primary School, Belfast",28,487,5.70%
1036576,"Holy Child Primary School, Belfast",0,583,0.00%
1036589,"St Teresa's Primary School, Belfast",22,506,4.30%
1036602,"St Oliver Plunkett Primary School, Belfast",*,638,*
1036620,"St Peter's Primary School, Belfast",*,325,*
1036621,"St Joseph's Primary School, Slate Street",54,228,23.70%
1036623,"Holy Trinity Primary School, Belfast",0,643,0.00%
1036624,"St Paul's Primary School, Belfast",57,342,16.70%
1036630,"St Clare's Primary School, Belfast",25,470,5.30%
1036688,"St John The Baptist Primary School, Belfast",*,392,*
1036697,John Paul II Primary School,*,283,*
1036698,"St Patrick's Primary School, Churchill St",41,546,7.50%
1046501,Bunscoil Phobal Feirste,0,339,0.00%
1046571,Gaelscoil Na Bhfal,0,194,0.00%
1046593,Bunscoil An Tsleibhe Dhuibh,0,191,0.00%
1046596,Bunscoil Bheann Mhadagain,0,158,0.00%
1046641,Scoil An Droichid,0,165,0.00%
1046671,Gaelscoil na Mona,*,125,*
1046672,Gaelscoil an Lonnain,0,60,0.00%
1056483,Cliftonville Integrated Primary School,14,332,4.20%
1056535,Forge Integrated Primary School,37,351,10.50%
1066531,Hazelwood Primary School,48,459,10.50%
1066580,Cranmore Integrated Primary School,12,206,5.80%
1620020,Campbell College Junior School,0,249,0.00%
1620022,Fullerton House Preparatory School,*,151,*
1620023,Downey House School,*,119,*
1620027,Inchmarlo,0,149,0.00%
1620028,Ben Madigan Preparatory School,0,131,0.00%
1620089,Strathearn Prep Dept,*,137,*
1620264,Victoria College Prepatory School,0,152,0.00%
2010380,Londonderry Model Primary School,16,313,5.10%
2010382,Ebrington Controlled Primary School,*,451,*
2011787,Kesh Primary School,*,236,*
2011789,Moat Primary School,*,119,*
2011860,Belleek Primary School,0,29,0.00%
2011873,Aghadrumsee Primary School,0,40,0.00%
2011879,Newtownbutler Primary School,0,53,0.00%
2011881,Florencecourt Primary School,0,124,0.00%
2011893,Ballinamallard Primary School,12,160,7.50%
2011894,Brookeborough Primary School,0,71,0.00%
2011899,Derrygonnelly Primary School,0,68,0.00%
2012052,Culmore Primary School,0,70,0.00%
2012087,Bellarena Primary School,0,34,0.00%
2012095,Ballougry Primary School,0,71,0.00%
2012227,Drumahoe Primary School,*,302,*
2012245,Eglinton Primary School,*,215,*
2012261,Newbuildings Primary School,0,204,0.00%
2012298,Ballykelly Primary School,16,315,5.10%
2012344,McClintock Primary School,*,84,*
2012378,Dunmullan Primary School,0,36,0.00%
2012617,Erganagh Primary School,0,40,0.00%
2012638,Edwards Primary School,*,229,*
2012641,Killen Primary School,0,110,0.00%
2012648,Gillygooley Primary School,0,30,0.00%
2012660,Denamona Primary School,*,63,*
2012669,"Queen Elizabeth II Primary School, Omagh",0,45,0.00%
2012671,Langfield Primary School,0,28,0.00%
2012691,Omagh County Primary School,70,337,20.80%
2012707,Dromore Primary School,*,48,*
2012708,Strabane Controlled Primary School,*,281,*
2012711,Donemana Primary School,0,104,0.00%
2016003,Jones Memorial Primary School,11,180,6.10%
2016029,Drumachose Primary School,*,318,*
2016068,Artigarvan Primary School,*,149,*
2016071,Greenhaw Primary School,*,315,*
2016089,Gibson Primary School,24,311,7.70%
2016102,Tempo Primary School,*,104,*
2016124,Ashlea Primary,0,83,0.00%
2016127,Maguiresbridge Primary School,0,115,0.00%
2016151,Irvinestown Primary School,0,161,0.00%
2016152,Enniskillen Model Primary School,58,432,13.40%
2016184,Lack Primary School,0,53,0.00%
2016203,Lisnagelvin Primary School,49,598,8.20%
2016218,Lisbellaw Primary School,0,219,0.00%
2016262,Newtownstewart Model Primary School,*,62,*
2016372,Cumber Claudy Primary School,0,145,0.00%
2016395,Gortin Primary School,0,54,0.00%
2016426,Limavady Central Primary School,9,422,2.10%
2016442,Sion Mills Primary School,0,260,0.00%
2016564,Fountain Primary School,0,113,0.00%
2016645,Bready Jubilee Primary School,*,131,*
2016656,Drumrane Primary School,0,132,0.00%
2016663,Cooley Primary School,*,137,*
2016700,Gaelscoil NeAchitain,0,93,0.00%
2016701,Ardstraw Jubilee Primary School,0,85,0.00%
2030364,Rosemount Primary School,*,346,*
2030373,Nazareth House Primary School,0,253,0.00%
2030381,"Holy Child Primary School, Londonderry",0,256,0.00%
2031828,"St Patrick's Primary School, Mullanaskea",*,207,*
2031863,Tattygar Primary School,*,75,*
2031868,"St Tierney's Primary School, Roslea",*,107,*
2031869,"St Mary's Primary School, Newtownbutler",*,180,*
2031874,"St Patrick's Primary School, Derrygonnelly",*,123,*
2031876,"St Mary's Primary School, Brookeborough",5,57,8.80%
2031880,"St Ninnidh's Primary School, Derrylin",15,133,11.30%
2031884,"St Mary's Primary School, Killesher",0,81,0.00%
2031887,"St John the Baptist Primary School, Enniskillen",0,46,0.00%
2031890,"St Mary's Primary School, Mullymesker",0,132,0.00%
2031895,"St Mary's Primary School, Maguiresbridge",0,95,0.00%
2031897,Killyhommon Primary School,0,73,0.00%
2031898,"St Paul's Primary School, Irvinestown",18,231,7.80%
2031901,"St Ronan's Primary School, Lisnaskea",18,359,5.00%
2032212,Glendermott Primary School,0,154,0.00%
2032263,"St Canice's Primary School, Feeny",*,116,*
2032278,Broadbridge Primary School,*,431,*
2032286,"St Matthew's Primary School, Limavady",0,83,0.00%
2032287,Termoncanice Primary School,21,528,4.00%
2032294,"St Mary's Primary School, Altinure",0,165,0.00%
2032300,Listress Primary School,0,23,0.00%
2032473,Magheralough Primary School,0,23,0.00%
2032573,"St Brigid's Primary School, Altamuskin",0,58,0.00%
2032603,Tummery Primary School,0,44,0.00%
2032607,"St Mary's Primary School, Killyclogher",10,388,2.60%
2032612,"St Matthew's Primary School, Garvaghey",0,27,0.00%
2032628,Knocknagor Primary School,0,68,0.00%
2032639,Drumduff Primary School,0,46,0.00%
2032662,"St Brigid's Primary School, Mountfield",*,38,*
2032676,"St Patrick's Primary School, Gortin",0,83,0.00%
2032677,Drumlish Primary School,0,62,0.00%
2032682,"St Eugene's Primary School, Victoria Bridge",0,62,0.00%
2032683,"St Joseph's Primary School, Glenmornan",0,38,0.00%
2032684,St Lawrence's Primary School,23,262,8.80%
2032685,"St Brigid's Primary School, Cranagh",0,22,0.00%
2032688,"St Eugene's Primary School, Tyrcur",0,31,0.00%
2032694,St Caireall's Primary School,0,92,0.00%
2032700,"St Joseph's Primary School, Drumquin",0,136,0.00%
2032704,Recarson Primary School,0,106,0.00%
2032705,"St Patrick's Primary School, Eskra",*,95,*
2032721,"Sacred Heart Primary School, Tattyreagh",0,80,0.00%
