DE ref,Schoolname,Protestant,% Protestant,Catholic,% Catholic,Other Christian / non-Christian / no religion / unknown,% Other Christian / non-Christian / no religion / unknown,Enrolment
1010012,Belmont Primary School,154,60.6,9,3.5,91,35.8,254
1010063,Currie Primary School,115,65.7,5,2.9,55,31.4,175
1010146,Euston Street Primary School,137,40.2,56,16.4,148,43.4,341
1010157,Rosetta Primary School,118,42.3,31,11.1,130,46.6,279
1010205,Forth River Primary School,187,91.2,0,0,18,8.8,205
1010221,Springfield Primary School,147,84,*,*,#,#,175
1010232,Harding Memorial Primary School,102,48.8,22,10.5,85,40.7,209
1010252,Strandtown Primary School,570,58.4,40,4.1,366,37.5,976
1010255,Elmgrove Primary School,373,55.3,49,7.3,252,37.4,674
1010266,"Seaview Primary School, Belfast",244,55.1,15,3.4,184,41.5,443
1010267,Nettlefield Primary School,216,56.7,62,16.3,103,27,381
1010273,Orangefield Primary School,230,49.1,8,1.7,230,49.1,468
1010282,Carr's Glen Primary School,266,69.1,8,2.1,111,28.8,385
1010301,Taughmonagh Primary School,128,52,18,7.3,100,40.7,246
1010304,Greenwood Primary School,142,45.5,21,6.7,149,47.8,312
1010307,Springhill Primary School,111,74,0,0,39,26,150
1010323,Edenbrooke Primary School,244,81.3,*,*,#,#,300
1010324,Stranmillis Primary School,92,19.7,136,29.2,238,51.1,466
1010325,Ligoniel Primary School,122,65.9,7,3.8,56,30.3,185
1010806,Finaghy Primary School,263,61.4,27,6.3,138,32.2,428
1010831,Cavehill Primary School,200,48.5,57,13.8,155,37.6,412
1013018,Knocknagoney Primary School,174,63.7,24,8.8,75,27.5,273
1016059,Blackmountain Primary School,160,96.4,0,0,6,3.6,166
1016060,Donegall Road Primary School,140,55.6,*,*,#,#,252
1016076,Ballysillan Primary School,118,67.4,7,4,50,28.6,175
1016205,Fane Street Primary School,71,29.6,24,10,145,60.4,240
1016207,Blythefield Primary School,90,87.4,0,0,13,12.6,103
1016242,Dundela Infants School,135,46.4,35,12,121,41.6,291
1016485,Glenwood Primary School,510,96,5,0.9,16,3,531
1016498,Malvern Primary School,81,77.1,0,0,24,22.9,105
1016499,Botanic Primary School,57,26.1,29,13.3,132,60.6,218
1016532,Wheatfield Primary School,136,85.5,*,*,#,#,159
1016537,Lowwood Primary School,162,66.4,15,6.1,67,27.5,244
1016604,"Harmony Primary School, Belfast",223,88.5,*,*,#,#,252
1016647,Bunscoil Mhic Reachtain,*,*,87,94.6,*,*,92
1016655,Victoria Park Primary School,257,65.1,15,3.8,123,31.1,395
1030194,"Holy Cross Boys' Primary School, Belfast",*,*,#,#,*,*,445
1030313,"Our Lady of Lourdes Primary School, Belfast",*,*,621,97.2,#,#,639
1030326,"Our Lady's Primary School, Belfast",*,*,376,97.4,#,#,386
1030327,Holy Rosary Primary School,16,3.2,299,59.8,185,37,500
1030331,"Holy Cross Girls' Primary School, Belfast",*,*,#,#,*,*,188
1030868,"St Anne's Primary School, Belfast",*,*,842,94,#,#,896
1036041,Mercy Primary School,0,0,212,99.1,2,0.9,214
1036042,St Vincent De Paul Primary School,*,*,265,95,#,#,279
1036048,St Mary's Star of the Sea Primary School,0,0,142,97.9,3,2.1,145
1036075,St Bride's Primary School,9,1,661,75.3,208,23.7,878
1036132,St Therese of Lisieux Primary School,0,0,429,97.5,11,2.5,440
1036140,"St Michael's Primary School, Belfast",*,*,394,94,#,#,419
1036246,"St Joseph's Primary School, Holland Drive",5,1.3,347,90.4,32,8.3,384
1036388,"St Mary's Primary School, Divis St",55,41.7,71,53.8,6,4.5,132
1036466,"St Malachy's Primary School, Belfast",8,2.1,247,64.8,126,33.1,381
1036471,"Sacred Heart Primary School, Belfast",0,0,140,94,9,6,149
1036505,"St Matthew's Primary School, Belfast",*,*,265,88,#,#,301
1036565,St Kevin's Primary School,0,0,559,96.5,20,3.5,579
1036566,"Holy Family Primary School, Belfast",0,0,460,94.5,27,5.5,487
1036576,"Holy Child Primary School, Belfast",0,0,580,99.5,3,0.5,583
1036589,"St Teresa's Primary School, Belfast",0,0,498,98.4,8,1.6,506
1036602,"St Oliver Plunkett Primary School, Belfast",0,0,633,99.2,5,0.8,638
1036620,"St Peter's Primary School, Belfast",0,0,321,98.8,4,1.2,325
1036621,"St Joseph's Primary School, Slate Street",*,*,194,85.1,#,#,228
1036623,"Holy Trinity Primary School, Belfast",0,0,640,99.5,3,0.5,643
1036624,"St Paul's Primary School, Belfast",0,0,283,82.7,59,17.3,342
1036630,"St Clare's Primary School, Belfast",*,*,445,94.7,#,#,470
1036688,"St John The Baptist Primary School, Belfast",0,0,389,99.2,3,0.8,392
1036697,John Paul II Primary School,0,0,277,97.9,6,2.1,283
1036698,"St Patrick's Primary School, Churchill St",*,*,513,94,#,#,546
1046501,Bunscoil Phobal Feirste,0,0,325,95.9,14,4.1,339
1046571,Gaelscoil Na Bhfal,0,0,182,93.8,12,6.2,194
1046593,Bunscoil An Tsleibhe Dhuibh,0,0,172,90.1,19,9.9,191
1046596,Bunscoil Bheann Mhadagain,*,*,151,95.6,#,#,158
1046641,Scoil An Droichid,9,5.5,125,75.8,31,18.8,165
1046671,Gaelscoil na Mona,0,0,123,98.4,2,1.6,125
1046672,Gaelscoil an Lonnain,0,0,59,98.3,1,1.7,60
1056483,Cliftonville Integrated Primary School,61,18.4,137,41.3,134,40.4,332
1056535,Forge Integrated Primary School,84,23.9,114,32.5,153,43.6,351
1066531,Hazelwood Primary School,131,28.5,214,46.6,114,24.8,459
1066580,Cranmore Integrated Primary School,92,44.7,68,33,46,22.3,206
1620020,Campbell College Junior School,66,26.5,20,8,163,65.5,249
1620022,Fullerton House Preparatory School,60,39.7,29,19.2,62,41.1,151
1620023,Downey House School,64,53.8,23,19.3,32,26.9,119
1620027,Inchmarlo,85,57,26,17.4,38,25.5,149
1620028,Ben Madigan Preparatory School,60,45.8,23,17.6,48,36.6,131
1620089,Strathearn Prep Dept,25,18.2,*,*,#,#,137
1620264,Victoria College Prepatory School,68,44.7,43,28.3,41,27,152
2010380,Londonderry Model Primary School,23,7.3,233,74.4,57,18.2,313
2010382,Ebrington Controlled Primary School,309,68.5,10,2.2,132,29.3,451
2011787,Kesh Primary School,210,89,*,*,#,#,236
2011789,Moat Primary School,105,88.2,*,*,#,#,119
2011860,Belleek Primary School,19,65.5,6,20.7,4,13.8,29
2011873,Aghadrumsee Primary School,36,90,0,0,4,10,40
2011879,Newtownbutler Primary School,51,96.2,0,0,2,3.8,53
2011881,Florencecourt Primary School,105,84.7,10,8.1,9,7.3,124
2011893,Ballinamallard Primary School,131,81.9,9,5.6,20,12.5,160
2011894,Brookeborough Primary School,#,#,*,*,*,*,71
2011899,Derrygonnelly Primary School,54,79.4,0,0,14,20.6,68
2012052,Culmore Primary School,15,21.4,48,68.6,7,10,70
2012087,Bellarena Primary School,15,44.1,12,35.3,7,20.6,34
2012095,Ballougry Primary School,22,31,47,66.2,2,2.8,71
2012227,Drumahoe Primary School,275,91.1,5,1.7,22,7.3,302
2012245,Eglinton Primary School,164,76.3,20,9.3,31,14.4,215
2012261,Newbuildings Primary School,189,92.6,*,*,#,#,204
2012298,Ballykelly Primary School,134,42.5,157,49.8,24,7.6,315
2012344,McClintock Primary School,73,86.9,*,*,#,#,84
2012378,Dunmullan Primary School,36,100,0,0,0,0,36
2012617,Erganagh Primary School,35,87.5,*,*,*,*,40
2012638,Edwards Primary School,198,86.5,*,*,#,#,229
2012641,Killen Primary School,100,90.9,0,0,10,9.1,110
2012648,Gillygooley Primary School,30,100,0,0,0,0,30
2012660,Denamona Primary School,47,74.6,*,*,#,#,63
2012669,"Queen Elizabeth II Primary School, Omagh",40,88.9,0,0,5,11.1,45
