Data on Pupils 1 attending primary schools in Northern Ireland 2015/16: SEN data,,,,
DE ref,Schoolname,Special Educational Needs,Code of Practice,(Stage 1 - 5 on code of practice)
1010012,Belmont Primary School,*,#,41
1010063,Currie Primary School,19,80,99
1010146,Euston Street Primary School,8,97,105
1010157,Rosetta Primary School,8,48,56
1010205,Forth River Primary School,5,37,42
1010221,Springfield Primary School,6,31,37
1010232,Harding Memorial Primary School,5,34,39
1010252,Strandtown Primary School,26,222,248
1010255,Elmgrove Primary School,20,218,238
1010266,"Seaview Primary School, Belfast",5,98,103
1010267,Nettlefield Primary School,13,77,90
1010273,Orangefield Primary School,11,68,79
1010282,Carr's Glen Primary School,9,100,109
1010301,Taughmonagh Primary School,40,49,89
1010304,Greenwood Primary School,*,#,19
1010307,Springhill Primary School,8,38,46
1010323,Edenbrooke Primary School,10,109,119
1010324,Stranmillis Primary School,13,36,49
1010325,Ligoniel Primary School,8,43,51
1010806,Finaghy Primary School,*,#,50
1010831,Cavehill Primary School,9,79,88
1013018,Knocknagoney Primary School,5,67,72
1016059,Blackmountain Primary School,*,#,31
1016060,Donegall Road Primary School,11,87,98
1016076,Ballysillan Primary School,9,63,72
1016205,Fane Street Primary School,*,#,76
1016207,Blythefield Primary School,5,38,43
1016242,Dundela Infants School,7,34,41
1016485,Glenwood Primary School,18,136,154
1016498,Malvern Primary School,8,37,45
1016499,Botanic Primary School,*,#,46
1016532,Wheatfield Primary School,5,54,59
1016537,Lowwood Primary School,8,45,53
1016604,"Harmony Primary School, Belfast",7,72,79
1016647,Bunscoil Mhic Reachtain,*,#,16
1016655,Victoria Park Primary School,11,112,123
1030194,"Holy Cross Boys' Primary School, Belfast",13,221,234
1030313,"Our Lady of Lourdes Primary School, Belfast",24,155,179
1030326,"Our Lady's Primary School, Belfast",*,#,137
1030327,Holy Rosary Primary School,15,54,69
1030331,"Holy Cross Girls' Primary School, Belfast",*,#,41
1030868,"St Anne's Primary School, Belfast",12,233,245
1036041,Mercy Primary School,*,#,64
1036042,St Vincent De Paul Primary School,8,82,90
1036048,St Mary's Star of the Sea Primary School,*,#,41
1036075,St Bride's Primary School,16,59,75
1036132,St Therese of Lisieux Primary School,18,103,121
1036140,"St Michael's Primary School, Belfast",10,66,76
1036246,"St Joseph's Primary School, Holland Drive",*,#,52
1036388,"St Mary's Primary School, Divis St",*,#,34
1036466,"St Malachy's Primary School, Belfast",14,68,82
1036471,"Sacred Heart Primary School, Belfast",9,38,47
1036505,"St Matthew's Primary School, Belfast",*,#,52
1036565,St Kevin's Primary School,11,123,134
1036566,"Holy Family Primary School, Belfast",15,152,167
1036576,"Holy Child Primary School, Belfast",19,242,261
1036589,"St Teresa's Primary School, Belfast",65,116,181
1036602,"St Oliver Plunkett Primary School, Belfast",14,89,103
1036620,"St Peter's Primary School, Belfast",8,56,64
1036621,"St Joseph's Primary School, Slate Street",10,59,69
1036623,"Holy Trinity Primary School, Belfast",56,177,233
1036624,"St Paul's Primary School, Belfast",5,95,100
1036630,"St Clare's Primary School, Belfast",12,132,144
1036688,"St John The Baptist Primary School, Belfast",9,60,69
1036697,John Paul II Primary School,12,103,115
1036698,"St Patrick's Primary School, Churchill St",15,161,176
1046501,Bunscoil Phobal Feirste,5,98,103
1046571,Gaelscoil Na Bhfal,6,30,36
1046593,Bunscoil An Tsleibhe Dhuibh,7,38,45
1046596,Bunscoil Bheann Mhadagain,*,#,62
1046641,Scoil An Droichid,8,62,70
1046671,Gaelscoil na Mona,*,#,19
1046672,Gaelscoil an Lonnain,*,#,37
1056483,Cliftonville Integrated Primary School,10,103,113
1056535,Forge Integrated Primary School,9,71,80
1066531,Hazelwood Primary School,16,107,123
1066580,Cranmore Integrated Primary School,12,69,81
1620020,Campbell College Junior School,5,34,39
1620022,Fullerton House Preparatory School,0,28,28
1620023,Downey House School,*,#,30
1620027,Inchmarlo,*,#,24
1620028,Ben Madigan Preparatory School,6,12,18
1620089,Strathearn Prep Dept,*,#,9
1620264,Victoria College Prepatory School,*,#,23
2010380,Londonderry Model Primary School,25,92,117
2010382,Ebrington Controlled Primary School,7,92,99
2011787,Kesh Primary School,12,45,57
2011789,Moat Primary School,6,19,25
2011860,Belleek Primary School,*,#,10
2011873,Aghadrumsee Primary School,5,19,24
2011879,Newtownbutler Primary School,*,#,13
2011881,Florencecourt Primary School,*,#,45
2011893,Ballinamallard Primary School,*,#,31
2011894,Brookeborough Primary School,*,#,15
2011899,Derrygonnelly Primary School,0,*,*
2012052,Culmore Primary School,*,#,20
2012087,Bellarena Primary School,*,#,9
2012095,Ballougry Primary School,*,#,22
2012227,Drumahoe Primary School,13,46,59
2012245,Eglinton Primary School,5,46,51
2012261,Newbuildings Primary School,5,22,27
2012298,Ballykelly Primary School,9,50,59
2012344,McClintock Primary School,*,#,27
2012378,Dunmullan Primary School,*,#,6
2012617,Erganagh Primary School,*,#,14
2012638,Edwards Primary School,6,51,57
2012641,Killen Primary School,*,#,30
2012648,Gillygooley Primary School,0,7,7
2012660,Denamona Primary School,0,18,18
2012669,"Queen Elizabeth II Primary School, Omagh",*,#,20
2012671,Langfield Primary School,0,7,7
